Model,AUPRC (Primary),ROC-AUC,Min Cost/Tx,Optimal Threshold
xgb,1.0000000000000002,1.0,$0.00,0.17
lgb,0.9994986104329125,0.9997039068955111,$0.00,0.01
mlp_prob,0.8291897173405066,0.9838098839542673,$0.19,0.03
ae_semi_supervised,0.2237983773846952,0.8359767994065479,$1.99,0.0
iso,0.1098117730876789,0.8401033334247976,$0.96,0.09
ae_supervised,0.044053993515943746,0.8202865060138408,$1.99,0.0
lgb_base,0.004444027123100125,0.5125897554890482,$1.99,0.0
lgb_eng,0.004165662395591999,0.4953412313144194,$1.99,0.0
lof,0.0023001493374882197,0.1725764126455444,$1.99,0.0
